netdata/netdata
antirez/redis
git/git
php/php-src
Genymobile/scrcpy
bilibili/ijkplayer
wg/wrk
ggreer/the_silver_searcher
julycoding/The-Art-Of-Programming-By-July
SamyPesse/How-to-Make-a-Computer-Operating-System
FFmpeg/FFmpeg
cfenollosa/os-tutorial
tmux/tmux
obsproject/obs-studio
pjreddie/darknet
curl/curl
stedolan/jq
QSCTech/zju-icicles
libuv/libuv
Awesome-HarmonyOS/HarmonyOS
vurtun/nuklear
numpy/numpy
openssl/openssl
radareorg/radare2
nothings/stb
robertdavidgraham/masscan
facebook/zstd
mpv-player/mpv
nginx/nginx
taosdata/TDengine
esp8266/Arduino
allinurl/goaccess
micropython/micropython
pbatard/rufus
memcached/memcached
twitter/twemproxy
alibaba/tengine
gentilkiwi/mimikatz
andlabs/libui
arut/nginx-rtmp-module
h2o/h2o
iovisor/bcc
jonas/tig
cloudwu/skynet
octalmage/robotjs
irungentoo/toxcore
torch/torch7
google/brotli
timescale/timescaledb
openresty/lua-nginx-module
phpredis/phpredis
coolsnowwolf/lede
Tencent/wcdb
openresty/openresty
jedisct1/libsodium
squeaky-pl/japronto
apple/darwin-xnu
fogleman/Craft
skywind3000/kcp
antirez/disque
haiwen/seafile
jarun/nnn
hashcat/hashcat
libgit2/libgit2
reactos/reactos
swaywm/sway
s-matyukevich/raspberry-pi-os
Tencent/matrix
liuliu/ccv
SoftEtherVPN/SoftEtherVPN
raspberrypi/linux
postgres/postgres
vk-com/kphp-kdb
systemd/systemd
bingoogolapple/BGAQRCode-Android
googlecreativelab/anypixel
rswier/c4
spacehuhn/esp8266_deauther
jgamblin/Mirai-Source-Code
qmk/qmk_firmware
deepmind/lab
cesanta/mongoose
glfw/glfw
happyfish100/fastdfs
huangz1990/redis-3.0-annotated
borgbackup/borg
nodemcu/nodemcu-firmware
rofl0r/proxychains-ng
libevent/libevent
offensive-security/exploitdb
google/oss-fuzz
tbodt/ish
upx/upx
id-Software/DOOM
fulldecent/system-bus-radio
Xfennec/progress
freebsd/freebsd
nanomsg/nanomsg
go-vgo/robotgo
hishamhm/htop
lz4/lz4
google/ios-webkit-debug-proxy
chrismaltby/gb-studio
vysheng/tg
id-Software/Quake-III-Arena
jemalloc/jemalloc
EZLippi/Tinyhttpd
OpenVPN/openvpn
jedisct1/dsvpn
sumatrapdfreader/sumatrapdf
mruby/mruby
vmg/redcarpet
pervognsen/bitwise
espressif/esp-idf
stanfordnlp/GloVe
jonls/redshift
nonstriater/Learn-Algorithms
