shadowsocks/shadowsocks-windows
CodeHubApp/CodeHub
PowerShell/PowerShell
dotnet/aspnetcore
Wox-launcher/Wox
mxgmn/WaveFunctionCollapse
0xd4d/dnSpy
dotnet-architecture/eShopOnContainers
dotnet/roslyn
StackExchange/Dapper
ShareX/ShareX
thangchung/awesome-dotnet-core
NickeManarin/ScreenToGif
icsharpcode/ILSpy
dotnet/efcore
mono/mono
MaterialDesignInXAML/MaterialDesignInXamlToolkit
AvaloniaUI/Avalonia
aspnetboilerplate/aspnetboilerplate
SignalR/SignalR
JamesNK/Newtonsoft.Json
2dust/v2rayN
App-vNext/Polly
OpenRA/OpenRA
GoogleCloudPlatform/microservices-demo
restsharp/RestSharp
NancyFx/Nancy
AutoMapper/AutoMapper
dotnet/AspNetCore.Docs
dotnet/machinelearning
cefsharp/CefSharp
MahApps/MahApps.Metro
MonoGame/MonoGame
dotnet/orleans
Unity-Technologies/UnityCsReference
chocolatey/choco
felixse/FluentTerminal
IdentityServer/IdentityServer4
JeffreySu/WeiXinMPSDK
aspnet/Mvc
jellyfin/jellyfin
HangfireIO/Hangfire
dotnet/csharplang
microsoft/ailab
reactiveui/ReactiveUI
FluentValidation/FluentValidation
QL-Win/QuickLook
microsoft/VFSForGit
dotnet/BenchmarkDotNet
Sonarr/Sonarr
bitwarden/server
dvf/blockchain
JustArchiNET/ArchiSteamFarm
duplicati/duplicati
ThreeMammals/Ocelot
mbdavid/LiteDB
ServiceStack/ServiceStack
gitextensions/gitextensions
Humanizr/Humanizer
lambci/docker-lambda
jbogard/MediatR
xupefei/Locale-Emulator
nopSolutions/nopCommerce
dodyg/practical-aspnetcore
ppy/osu
hbons/SparkleShare
NLog/NLog
sschmid/Entitas-CSharp
dotnet/wpf
ElectronNET/Electron.NET
xamarin/Xamarin.Forms
Redth/PushSharp
dotnet/reactive
microsoft/msbuild
shadowsocksr-backup/shadowsocksr-csharp
neuecc/UniRx
dotnet-architecture/eShopOnWeb
StackExchange/StackExchange.Redis
graphql-dotnet/graphql-dotnet
ardalis/CleanArchitecture
mRemoteNG/mRemoteNG
Live-Charts/Live-Charts
opserver/Opserver
microsoft/FASTER
0xd4d/de4dot
Jackett/Jackett
reactiveui/refit
Radarr/Radarr
HJLebbink/asm-dude
accord-net/framework
migueldeicaza/gui.cs
Topshelf/Topshelf
abpframework/abp
MvvmCross/MvvmCross
AngleSharp/AngleSharp
intel/acat
ExtendRealityLtd/VRTK
udacity/self-driving-car-sim
TheBerkin/rant
JanKallman/EPPlus
domaindrivendev/Swashbuckle.AspNetCore
autofac/Autofac
quasar/QuasarRAT
neo-project/neo
VsVim/VsVim
dotnet/standard
umbraco/Umbraco-CMS
Fody/Fody
louthy/language-ext
domaindrivendev/Swashbuckle
Azure/DotNetty
MathewSachin/Captura
ClusterM/hakchi2
bchavez/Bogus
KeenSoftwareHouse/SpaceEngineers
JoshClose/CsvHelper
StockSharp/StockSharp
sunkaixuan/SqlSugar
aspnet/KestrelHttpServer
googlevr/gvr-unity-sdk
dotnet-state-machine/stateless
huiyadanli/RevokeMsgPatcher
NetchX/Netch
xamarin/xamarin-forms-samples
jstedfast/MailKit
migueldeicaza/gui.cs
Unity-Technologies/PostProcessing
aspnet/JavaScriptServices
Topshelf/Topshelf
abpframework/abp
egametang/ET
MvvmCross/MvvmCross
AngleSharp/AngleSharp
dotnetcore/Util
intel/acat
ExtendRealityLtd/VRTK
udacity/self-driving-car-sim
TheBerkin/rant
JanKallman/EPPlus
domaindrivendev/Swashbuckle.AspNetCore
autofac/Autofac
quasar/QuasarRAT
neo-project/neo
VsVim/VsVim
dotnet/standard
umbraco/Umbraco-CMS
Fody/Fody
louthy/language-ext
migueldeicaza/TensorFlowSharp
domaindrivendev/Swashbuckle
Accelerider/BaiduPanDownloadWinform
protobuf-net/protobuf-net
dotnetcore/surging
Azure/DotNetty
MathewSachin/Captura
ClusterM/hakchi2
bchavez/Bogus
KeenSoftwareHouse/SpaceEngineers
JoshClose/CsvHelper
StockSharp/StockSharp
elastic/elasticsearch-net
sunkaixuan/SqlSugar
aspnet/KestrelHttpServer
googlevr/gvr-unity-sdk
ferventdesert/Hawk
dotnet/corert
playgameservices/play-games-plugin-for-unity
MassTransit/MassTransit
Unity-Technologies/ScriptableRenderPipeline
simplcommerce/SimplCommerce
yck1509/ConfuserEx
HMBSbige/ShadowsocksR-Windows
randyrants/sharpkeys
projectkudu/kudu
neuecc/MessagePack-CSharp
praeclarum/sqlite-net
marian42/wavefunctioncollapse
mono/monodevelop
dotnet/winforms
Codeusa/Borderless-Gaming
MediaBrowser/Emby
cake-build/cake
naudio/NAudio
picoe/Eto
aspnet/SignalR
xunit/xunit
ravendb/ravendb
dotnetcore/DotnetSpider
mongodb/mongo-csharp-driver
kerryjiang/SuperSocket
kgrzybek/modular-monolith-with-ddd
ninject/Ninject
microsoft/Git-Credential-Manager-for-Windows
microsoft/BotBuilder-Samples
davidfowl/AspNetCoreDiagnosticScenarios
OpenLiveWriter/OpenLiveWriter
openhardwaremonitor/openhardwaremonitor
File-New-Project/EarTrumpet
studyzy/imewlconverter
OfficeDev/Open-XML-SDK
JosefNemec/Playnite
Glimpse/Glimpse
microsoft/PTVS
nefarius/ScpToolkit
stride3d/xenko
JimBobSquarePants/ImageProcessor
scriptcs/scriptcs
shimat/opencvsharp
microsoft/microsoft-ui-xaml
xceedsoftware/wpftoolkit
OneGet/oneget
lucasg/Dependencies
dotnet/dotnet-docker
fluentmigrator/fluentmigrator
dotnet/docfx
ExcelDataReader/ExcelDataReader
firstfloorsoftware/mui
microsoft/referencesource
mathnet/mathnet-numerics
inkle/ink
Jays2Kings/DS4Windows
topameng/tolua
IdentityServer/IdentityServer3
icsharpcode/SharpZipLib
Dotnet-Boxed/Templates
siteserver/cms
canton7/SyncTrayzor
StephenCleary/AsyncEx
SeriaWei/ZKEACMS
Caliburn-Micro/Caliburn.Micro
libgit2/libgit2sharp
SubtitleEdit/subtitleedit
danielgerlag/workflow-core
pythonnet/pythonnet
bridgedotnet/Bridge
TGSAN/CMWTAT_Digital_Edition
microsoft/perfview
tmenier/Flurl
kevin-montrose/Jil
LazoCoder/Windows-Hacks
zalo/MathUtilities
xamarin/monodroid-samples
NoelFB/Celeste
IgnaceMaes/MaterialSkin
ServiceStack/ServiceStack.Redis
unoplatform/uno
thangchung/clean-code-dotnet
tidusjar/Ombi
ddevault/TrueCraft
morelinq/MoreLINQ
reactiveui/Akavache
commandlineparser/commandline
dotnetcore/WTM
reactjs/React.NET
neuecc/ZeroFormatter
keijiro/Skinner
npgsql/npgsql
