vsouza/awesome-ios
Alamofire/Alamofire
shadowsocks/ShadowsocksX-NG
dkhamsing/open-source-ios-apps
raywenderlich/swift-algorithm-club
iina/iina
danielgindi/Charts
serhii-londar/open-source-mac-os-apps
ReactiveCocoa/ReactiveCocoa
SwiftyJSON/SwiftyJSON
airbnb/lottie-ios
matteocrippa/awesome-swift
vapor/vapor
HeroTransitions/Hero
ReactiveX/RxSwift
JohnCoates/Aerial
SnapKit/SnapKit
onevcat/Kingfisher
ipader/SwiftGuide
PerfectlySoft/Perfect
MengTo/Spring
Carthage/Carthage
realm/SwiftLint
mxcl/PromiseKit
Moya/Moya
ochococo/Design-Patterns-In-Swift
CosmicMind/Material
allenwong/30DaysofSwift
xmartlabs/Eureka
Ramotion/animated-tab-bar
Ramotion/folding-cell
mozilla-mobile/firefox-ios
ninjaprox/NVActivityIndicatorView
fullstackio/FlappySwift
Juanpe/SkeletonView
Quick/Quick
tristanhimmelman/ObjectMapper
IBAnimatable/IBAnimatable
SwifterSwift/SwifterSwift
krzyzanowskim/CryptoSwift
apple/swift-package-manager
insidegui/WWDC
IBM-Swift/Kitura
lexrus/LTMorphingLabel
kickstarter/ios-oss
mac-cain13/R.swift
yanue/V2rayU
ianyh/Amethyst
robb/Cartography
airbnb/Lona
pigigaldi/Pock
mas-cli/mas
stephencelis/SQLite.swift
ashleymills/Reachability.swift
patchthecode/JTAppleCalendar
ReSwift/ReSwift
xmartlabs/XLPagerTabStrip
olucurious/Awesome-ARKit
SwiftGen/SwiftGen
andreamazz/AMScrollingNavbar
soapyigu/Swift-30-Projects
CatchChat/Yep
marcosgriselli/ViewAnimator
Swift-AI/Swift-AI
apple/swift-nio
daltoniam/Starscream
malcommac/SwiftDate
yichengchen/clashX
kishikawakatsumi/KeychainAccess
SwiftKickMobile/SwiftMessages
raulriera/TextFieldEffects
toptal/gitignore.io
mortenjust/androidtool-mac
cgoldsby/LoginCritter
krzysztofzablocki/Sourcery
Ramotion/expanding-collection
WenchaoD/FSPagerView
JakeLin/SwiftLanguageWeather
philackm/ScrollableGraphView
PageMenu/PageMenu
exyte/Macaw
SwipeCellKit/SwipeCellKit
Haneke/HanekeSwift
vikmeup/SCLAlertView-Swift
nickoneill/PermissionScope
ProjectDent/ARKit-CoreLocation
Jounce/Surge
alexaubry/BulletinBoard
SwiftyBeaver/SwiftyBeaver
dillidon/alerts-and-pickers
mamaral/Neon
qvacua/vimr
kean/Nuke
duemunk/Async
huri000/SwiftEntryKit
jonkykong/SideMenu
timdonnelly/Advance
BradLarson/GPUImage2
sindresorhus/Gifski
Ahmed-Ali/JSONExport
hyperoslo/ImagePicker
ephread/Instructions
BohdanOrlov/iOS-Developer-Roadmap
Juanpe/About-SwiftUI
garnele007/SwiftOCR
sunshinejr/SwiftyUserDefaults
lexrus/VPNOn
eggswift/ESTabBarController
socketio/socket.io-client-swift
badoo/Chatto
ankurp/Dollar
DeclarativeHub/Bond
MessageKit/MessageKit
Swinject/Swinject
louisdh/panelkit
KelvinJin/AnimatedCollectionViewLayout
PaoloCuscela/Cards
SoySauceLab/CollectionKit
ivanvorobei/SPPermissions
lysyi3m/macos-terminal-themes
PaoloCuscela/Cards
SoySauceLab/CollectionKit
ivanvorobei/SPPermissions
lysyi3m/macos-terminal-themes
Clipy/Clipy
Caldis/Mos
relatedcode/Messenger
pedrommcarrasco/Brooklyn
nicklockwood/SwiftFormat
Quick/Nimble
hyperoslo/Whisper
roberthein/BouncyLayout
yoavlt/LiquidFloatingActionButton
Skyscanner/SkyFloatingLabelTextField
Daltron/NotificationBanner
EFPrefix/EFQRCode
shu223/iOS-9-Sampler
Yalantis/StarWars.iOS
marmelroy/PhoneNumberKit
ioscreator/ioscreator
zixun/GodEye
gontovnik/DGElasticPullToRefresh
thoughtbot/Argo
DaveWoodCom/XCGLogger
Alamofire/AlamofireImage
ArtSabintsev/Siren
JadenGeller/Helium
hilen/TSWeChat
Orderella/PopupDialog
yagiz/Bagel
pNre/ExSwift
square/Valet
roberthein/TinyConstraints
shu223/iOS-10-Sampler
CocoaDebug/CocoaDebug
okmr-d/DOFavoriteButton
SCENEE/FloatingPanel
pkluz/PKHUD
RobertGummesson/BuildTimeAnalyzer-for-Xcode
optonaut/ActiveLabel.swift
artemnovichkov/iOS-11-by-Examples
CVCalendar/CVCalendar
soapyigu/LeetCode-Swift
typelift/Swiftz
fastred/Optimizing-Swift-Build-Times
mortenjust/cleartext-mac
alibaba/HandyJSON
dekatotoro/SlideMenuControllerSwift
Yalantis/Persei
yonaskolb/XcodeGen
IFTTT/RazzleDazzle
RNCryptor/RNCryptor
cbpowell/MarqueeLabel
cruisediary/Pastel
Lax/Learn-iOS-Swift-by-Examples
uraimo/Awesome-Swift-Playgrounds
Ramotion/circle-menu
devxoul/Then
zhuhaow/SpechtLite
twostraws/HackingWithSwift
xmartlabs/XLActionController
zenangst/Hue
andreamazz/BubbleTransition
coteditor/CotEditor
Ramotion/swift-ui-animation-components-and-libraries
linkedin/LayoutKit
Mortennn/Dozer
hyperoslo/Presentation
SwiftOldDriver/iOS-Weekly
devicekit/DeviceKit
httpswift/swifter
austinzheng/swift-2048
Ramotion/paper-onboarding
freshOS/Stevia
apple/swift-protobuf
willowtreeapps/spruce-ios
kasketis/netfox
BeauNouvelle/FaceAware
wordpress-mobile/WordPress-iOS
matthewpalmer/Locksmith
Ranchero-Software/NetNewsWire
AugustRush/Stellar
icanzilb/EasyAnimation
wireapp/wire-ios
Yalantis/GuillotineMenu
goktugyil/EZSwiftExtensions
fancymax/12306ForMac
SwiftWebUI/SwiftWebUI
shoheiyokoyama/Gemini
xi-editor/xi-mac
Ramotion/paper-switch
mobileplayer/mobileplayer-ios
groue/GRDB.swift
airbnb/AloeStackView
ariok/BWWalkthrough
jathu/UIImageColors
zhuhaow/NEKit
ScottLogic/iOS8-day-by-day
avatsaev/touchbar_nyancat
Yalantis/Side-Menu.iOS
saoudrizwan/Disk
Rightpoint/BonMot
malcommac/SwiftLocation
delba/Permission
naoty/Timepiece
Yummypets/YPImagePicker
GitHawkApp/GitHawk
sergdort/CleanArchitectureRxSwift
codepath/ios_guides
angelolloqui/SwiftKotlin
dwarvesf/hidden
shaps80/Peek
OAuthSwift/OAuthSwift
ReactiveCocoa/ReactiveSwift
airbnb/MagazineLayout
twostraws/ControlRoom
artsy/eidolon
mortenjust/droptogif
kyleduo/TinyPNG4Mac
tristanhimmelman/AlamofireObjectMapper
andreamazz/AMPopTip
nghialv/MaterialKit
madebybowtie/FlagKit
Jinxiansen/SwiftUI
IcaliaLabs/Presentr
Ji4n1ng/OpenInTerminal
larrynatalicio/15DaysofAnimationsinSwift
overtake/TelegramSwift
kahopoon/Pokemon-Go-Controller
antitypical/Result
PhamBaTho/BTNavigationDropdownMenu
eBay/NMessenger
nixzhu/MonkeyKing
kitasuke/PagingMenuController
Ramotion/reel-search
ChiliLabs/CHIPageControl
Boris-Em/BEMCheckBox
marmelroy/Localize-Swift
teodorpatras/EasyTipView
3lvis/Sync
onevcat/FengNiao
dasdom/BreakOutToRefresh
ytakzk/Fusuma
JohnEstropia/CoreStore
analogcode/Swift-Radio-Pro
ra1028/DifferenceKit
apollographql/apollo-ios
AliSoftware/Reusable
kaishin/Gifu
gavinbunney/Toucan
ApplikeySolutions/VegaScroll
ltebean/Live
Touchwonders/Transition
nathangitter/fluid-interfaces
devxoul/URLNavigator
robb/hamburger-button
scalessec/Toast-Swift
RxSwiftCommunity/RxDataSources
Krisiacik/ImageViewer
yannickl/DynamicColor
Ramotion/navigation-stack
malcommac/SwiftRichString
inFullMobile/WobbleView
slackhq/PanModal
aslanyanhaik/youtube-iOS
mattneub/Programming-iOS-Book-Examples
entotsu/TKSubmitTransition
lukakerr/Pine
HarshilShah/DeckTransition
Cuberto/liquid-swipe
pmusolino/PMAlertController
Baddaboo/ClassicKit
kmikiy/SpotMenu
krzysztofzablocki/LifetimeTracker
lkzhao/ElasticTransition
hrscy/TodayNews
nicklockwood/layout
FolioReader/FolioReaderKit
mattdonnelly/Swifter
ivanvorobei/SwiftUI
delba/TextAttributes
DianQK/TransitionTreasury
modo-studio/SugarRecord
ivanvorobei/SPStorkController
i-schuetz/SwiftCharts
aschuch/StatefulViewController
nvzqz/FileKit
Yalantis/Segmentio
alexdrone/Render
SebastianBoldt/Jelly
Urinx/iOSAppHook
github/SoftU2F
intuit/CardParts
polqf/FillableLoaders
FlexMonkey/Filterpedia
sauliusgrigaitis/Swifton
Ramotion/preview-transition
suzuki-0000/SKPhotoBrowser
JohnSundell/Unbox
bustoutsolutions/siesta
ElaWorkshop/TagListView
waynewbishop/SwiftStructures
hyperoslo/Cache
marmelroy/PeekPop
Yalantis/DisplaySwitcher
wikimedia/wikipedia-ios
rxhanson/Rectangle
Ramotion/adaptive-tab-bar
tid-kijyun/Kanna
loregr/LGButton
BendingSpoons/katana-swift
codestergit/SweetAlert-iOS
JohnSundell/Marathon
rechsteiner/Parchment
dani-gavrilov/GDPerformanceView-Swift
glushchenko/fsnotes
JohnSundell/Publish
muukii/Pixel
AlexLittlejohn/ALCameraViewController
mczachurski/wallpapper
zhxnlai/ZLSwipeableViewSwift
ole/whats-new-in-swift-4
draveness/DKChainableAnimationKit
yapstudios/YapAnimator
icanzilb/SwiftSpinner
aahung/Unshaky
ReactKit/SwiftTask
gontovnik/DGRunkeeperSwitch
HamzaGhazouani/HGCircularSlider
netguru/ResponseDetective
joemasilotti/UI-Testing-Cheat-Sheet
Cosmo/TinyConsole
Toxblh/MTMR
ddddxxx/LyricsX
wxxsw/SwiftTheme
entotsu/PullToBounce
Zewo/Zewo
HarshilShah/NotchKit
rhummelmose/BluetoothKit
HamzaGhazouani/HGPlaceholders
BradLarson/GPUImage3
