rails/rails
jekyll/jekyll
discourse/discourse
fastlane/fastlane
huginn/huginn
bayandin/awesome-awesomeness
freeCodeCamp/devdocs
gitlabhq/gitlabhq
Homebrew/brew
heartcombo/devise
tootsuite/mastodon
rapid7/metasploit-framework
hashicorp/vagrant
Homebrew/homebrew-cask
ruby/ruby
kilimchoi/engineering-blogs
twbs/bootstrap-sass
thepracticaldev/dev.to
diaspora/diaspora
CocoaPods/CocoaPods
capistrano/capistrano
elastic/logstash
sinatra/sinatra
rubocop-hq/rubocop
gollum/gollum
spree/spree
mperham/sidekiq
tmuxinator/tmuxinator
postalhq/postal
imathis/octopress
jordansissel/fpm
thoughtbot/paperclip
ruby-grape/grape
teamcapybara/capybara
thoughtbot/bourbon
fluent/fluentd
activeadmin/activeadmin
resque/resque
thoughtbot/guides
mame/quine-relay
carrierwaveuploader/carrierwave
faker-ruby/faker
javan/whenever
kaminari/kaminari
Shopify/liquid
heartcombo/simple_form
github/linguist
sferik/rails_admin
Homebrew/homebrew-core
omniauth/omniauth
varvet/pundit
thoughtbot/factory_bot
BetterErrors/better_errors
middleman/middleman
DeathKing/Learning-SICP
skwp/dotfiles
realm/jazzy
ryanb/cancan
lewagon/setup
chef/chef
greatghoul/remote-working
puma/puma
venmo/synx
progit/progit
pry/pry
guard/guard
flyerhzm/bullet
github-changelog-generator/github-changelog-generator
paper-trail-gem/paper_trail
puppetlabs/puppet
presidentbeef/brakeman
alexreisner/geocoder
chyingp/nodejs-learning-guide
kkuchta/css-only-chat
mislav/will_paginate
bkeepers/dotenv
github/scientist
ankane/chartkick
norman/friendly_id
square/maximum-awesome
samaaron/sonic-pi
ddollar/foreman
rails-api/rails-api
hanami/hanami
ankane/searchkick
ankane/pghero
jnunemaker/httparty
justinfrench/formtastic
cucumber/cucumber-ruby
sferik/t
rails-api/active_model_serializers
sj26/mailcatcher
slim-template/slim
ruby-concurrency/concurrent-ruby
Netflix/fast_jsonapi
rest-client/rest-client
rubygems/bundler
evil-icons/evil-icons
github/markup
drapergem/draper
wpscanteam/wpscan
JuanitoFatas/fast-ruby
vcr/vcr
lostisland/faraday
thoughtbot/administrate
BBC-News/wraith
rails/webpacker
nomad/shenzhen
mbleigh/acts-as-taggable-on
backup/backup
CanCanCommunity/cancancan
thoughtbot/neat
doorkeeper-gem/doorkeeper
kickstarter/rack-attack
activerecord-hackery/ransack
erikhuda/thor
shakacode/react_on_rails
lolcommits/lolcommits
rspec/rspec-rails
sferik/twitter
fog/fog
