luanfujun/deep-photo-styletransfer
PRML/PRMLT
TadasBaltrusaitis/OpenFace
rasmusbergpalm/DeepLearnToolbox
kpzhang93/MTCNN_face_detection_alignment
ShaoqingRen/faster_rcnn
zk00006/OpenTLD
rbgirshick/rcnn
googollee/eviltransform
ecmadao/Coding-Guide
torrvision/crfasrnn
daijifeng001/R-FCN
zhoubolei/CAM
peiyunh/tiny
Borye/machine-learning-coursera-1
brendenlake/BPL
matlab2tikz/matlab2tikz
brendenlake/omniglot
altmany/export_fig
pdollar/toolbox
cszn/DnCNN
schneems/Octave
AlfredXiangWu/face_verification_experiment
pdollar/edges
albanie/convnet-burden
HuangCongQing/Algorithms_MathModels
jindongwang/activityrecognition
willard-yuan/CNN-for-Image-Retrieval
andrewssobral/lrslibrary
xioTechnologies/Gait-Tracking-With-x-IMU
hszhao/ICNet
bertinetto/siamese-fc
trekhleb/machine-learning-octave
kyamagu/mexopencv
rbgirshick/voc-dpm
guosheng/refinenet
zhouxc/Stanford-Machine-Learning-Course
jtkim-kaist/VAD
yaksoy/SemanticSoftSegmentation
martin-danelljan/ECO
feichtenhofer/Detect-Track
scottclowe/matlab-schemer
bertinetto/cfnet
sfzhang15/SFD
cs-chan/Total-Text-Dataset
willard-yuan/hashing-baseline-for-image-retrieval
happynear/FaceVerification
happynear/AMSoftmax
piermorel/gramm
atinesh-s/Coursera-Machine-Learning-Stanford
quantombone/exemplarsvm
jbhuang0604/SelfExSR
liuziwei7/fashion-detection
cszn/IRCNN
petercorke/robotics-toolbox-matlab
yuxng/MDP_Tracking
fieldtrip/fieldtrip
phoenix104104/LapSRN
Lisandro79/BeatTheBookie
everpeace/ml-class-assignments
Ewenwan/Mathematics
ShaoqingRen/SPP_net
happynear/NormFace
votchallenge/vot-toolkit
merwan/ml-class
jwyang/face-alignment
ox-vgg/vgg_face2
bearpaw/clothing-co-parsing
econti/cs229
HyeonwooNoh/DeconvNet
bayesnet/bnt
s-gupta/rcnn-depth
posenhuang/deeplearningsourceseparation
alecjacobson/gptoolbox
liuziwei7/fashion-landmarks
chebfun/chebfun
happynear/FaceDatasets
Relja/netvlad
zouchuhang/LayoutNet
XgTu/2DASL
benfulcher/hctsa
rksltnl/Deep-Metric-Learning-CVPR16
cszn/SRMD
panditanvita/BTCpredictor
huangzehao/caffe-vdsr
AvaisP/machine-learning-programming-assignments-coursera-andrew-ng
bcmi/Image_Harmonization_Datasets
adikhosla/feature-extraction
rpng/kalibr_allan
xjqicuhk/SIMS
shahroudy/NTURGB-D
shenshikexmu/IMUCalibration-Gesture
suhangpro/mvcnn
nightrome/cocostuff10k
ZJULearning/MatlabFunc
vugsus/coursera-machine-learning
liuyuisanai/RSA-for-object-detection
jponttuset/mcg
