laravel/laravel
blueimp/jQuery-File-Upload
fzaninotto/Faker
danielmiessler/SecLists
symfony/symfony
composer/composer
laravel/framework
guzzle/guzzle
domnikl/DesignPatternsPHP
bcit-ci/CodeIgniter
Seldaek/monolog
sebastianbergmann/phpunit
PHPMailer/PHPMailer
briannesbitt/Carbon
WordPress/WordPress
yiisoft/yii2
matomo-org/matomo
erusev/parsedown
getgrav/grav
filp/whoops
phacility/phabricator
PHPOffice/PHPExcel
phanan/koel
thephpleague/flysystem
CachetHQ/Cachet
barryvdh/laravel-debugbar
roots/sage
Intervention/image
slimphp/Slim
vlucas/phpdotenv
vlucas/phpdotenv
ramsey/uuid
phalcon/cphalcon
flarum/flarum
nextcloud/server
barryvdh/laravel-ide-helper
octobercms/october
monicahq/monica
serbanghita/Mobile-Detect
the-control-group/voyager
mockery/mockery
doctrine/inflector
swiftmailer/swiftmailer
tymondesigns/jwt-auth
doctrine/lexer
doctrine/instantiator
dingo/api
overtrue/wechat
egulias/EmailValidator
FriendsOfPHP/PHP-CS-Fixer
docker/labs
php-fig/log
bobthecow/psysh
magento/magento2
phpstan/phpstan
Maatwebsite/Laravel-Excel
walkor/Workerman
php-fig/container
cakephp/cakephp
z-song/laravel-admin
symfony/console
PHPOffice/PhpSpreadsheet
FriendsOfPHP/Goutte
php-ai/php-ml
phpDocumentor/ReflectionDocBlock
jupeter/clean-code-php
spatie/laravel-permission
phpDocumentor/TypeResolver
deployphp/deployer
phpDocumentor/ReflectionCommon
phpspec/prophecy
doctrine/orm
squizlabs/PHP_CodeSniffer
php-fig/simple-cache
paragonie/random_compat
top-think/think
reactphp/reactphp
sebastianbergmann/php-code-coverage
symfony/http-foundation
symfony/event-dispatcher
myclabs/DeepCopy
symfony/finder
symfony/debug
owncloud/core
symfony/thanks
symfony/http-kernel
dompdf/dompdf
twigphp/Twig
doctrine/dbal
symfony/polyfill-mbstring
symfony/routing
helloqingfeng/Awsome-Front-End-learning-resource
symfony/process
sebastianbergmann/php-timer
sebastianbergmann/diff
webmozart/assert
nrk/predis
symfony/css-selector
sebastianbergmann/php-file-iterator
symfony/var-dumper
Zizaco/entrust
sebastianbergmann/php-text-template
sebastianbergmann/php-token-stream
laravel/tinker
guzzle/psr7
phar-io/manifest
phar-io/version
hamcrest/hamcrest-php
php-pm/php-pm
directus/directus
DevinVinson/WordPress-Plugin-Boilerplate
sebastianbergmann/comparator
guzzle/promises
JakubOnderka/PHP-Console-Highlighter
woocommerce/woocommerce
doctrine/cache
JakubOnderka/PHP-Console-Color
YOURLS/YOURLS
dnoegel/php-xdg-base-dir
symfony/translation
doctrine/cache
JakubOnderka/PHP-Console-Color
YOURLS/YOURLS
dnoegel/php-xdg-base-dir
symfony/translation
sebastianbergmann/exporter
sebastianbergmann/environment
Sylius/Sylius
sebastianbergmann/code-unit-reverse-lookup
hirak/prestissimo
php-fig/http-message
sebastianbergmann/global-state
sebastianbergmann/version
sebastianbergmann/recursion-context
sebastianbergmann/object-enumerator
tennc/webshell
sebastianbergmann/resource-operations
thephpleague/oauth2-server
electerious/Lychee
opencart/opencart
pagekit/pagekit
lcobucci/jwt
sebastianbergmann/object-reflector
tijsverkoyen/CssToInlineStyles
Respect/Validation
doctrine/annotations
ratchetphp/Ratchet
humhub/humhub
sebastianbergmann/phpunit-mock-objects
botman/botman
invoiceninja/invoiceninja
kanboard/kanboard
flarum/core
fruitcake/laravel-cors
yiisoft/yii
PHPOffice/PHPWord
phpmyadmin/phpmyadmin
roots/bedrock
phan/phan
wallabag/wallabag
mledoze/countries
jenssegers/laravel-mongodb
swoft-cloud/swoft
mtdowling/cron-expression
aws/aws-sdk-php
chriskacerguis/codeigniter-restserver
PrestaShop/PrestaShop
theseer/tokenizer
caouecs/Laravel-lang
joypixels/emojione
dodgepudding/wechat-php-sdk
doctrine/common
doctrine/collections
timber/timber
laravel/socialite
symfony/polyfill-php72
BookStackApp/BookStack
firefly-iii/firefly-iii
phpbrew/phpbrew
kalcaddle/KodExplorer
jokkedk/webgrind
top-think/thinkphp
moodle/moodle
beyondcode/laravel-websockets
cviebrock/eloquent-sluggable
scotch-io/scotch-box
Attendize/Attendize
doctrine/DoctrineMigrationsBundle
facebookarchive/php-graph-sdk
EasyCorp/EasyAdminBundle
corcel/corcel
cytopia/devilbox
mrclay/minify
splitbrain/dokuwiki
rocketeers/rocketeer
justinrainbow/json-schema
nWidart/laravel-modules
doctrine/DoctrineCacheBundle
hhxsv5/laravel-s
ThingEngineer/PHP-MySQLi-Database-Class
itsgoingd/clockwork
mailcow/mailcow-dockerized
Audi-1/sqli-labs
phptodayorg/php-must-watch
jcc/blog
amphp/amp
sensiolabs/SensioFrameworkExtraBundle
endroid/qr-code
gitscrum-ce/laravel-gitscrum
mpdf/mpdf
KnpLabs/snappy
joomla/joomla-cms
andersao/l5-repository
chrisboulton/php-resque
nunomaduro/phpinsights
symfony/polyfill-ctype
symfony/filesystem
drupal/drupal
zircote/swagger-php
facebookarchive/facebook-php-sdk
nunomaduro/collision
anchorcms/anchor-cms
ThinkUpLLC/ThinkUp
php-amqplib/php-amqplib
yajra/laravel-datatables
LaravelCollective/html
Behat/Behat
giggsey/libphonenumber-for-php
roundcube/roundcubemail
rmccue/Requests
overtrue/pinyin
interconnectit/Search-Replace-DB
picocms/Pico
Hanson/vbot
Atlantic18/DoctrineExtensions
thephpleague/fractal
RainLoop/rainloop-webmail
PHP-FFMpeg/PHP-FFMpeg
easy-swoole/easyswoole
doctrine/migrations
overtrue/pinyin
interconnectit/Search-Replace-DB
picocms/Pico
Hanson/vbot
Atlantic18/DoctrineExtensions
thephpleague/fractal
RainLoop/rainloop-webmail
PHP-FFMpeg/PHP-FFMpeg
easy-swoole/easyswoole
doctrine/migrations
cloudreve/Cloudreve
doctrine/DoctrineBundle
phpro/grumphp
symfony/polyfill-php70
yansongda/pay
jenssegers/agent
pattern-lab/patternlab-php
cydrobolt/polr
