tensorflow/tensorflow
electron/electron
microsoft/terminal
apple/swift
opencv/opencv
bitcoin/bitcoin
protocolbuffers/protobuf
pytorch/pytorch
x64dbg/x64dbg
tesseract-ocr/tesseract
BVLC/caffe
godotengine/godot
ariya/phantomjs
grpc/grpc
rethinkdb/rethinkdb
cmderdev/cmder
google/leveldb
microsoft/calculator
ocornut/imgui
aria2/aria2
emscripten-core/emscripten
dmlc/xgboost
nlohmann/json
mongodb/mongo
microsoft/CNTK
osquery/osquery
facebook/hhvm
CMU-Perceptual-Computing-Lab/openpose
facebook/rocksdb
ApolloAuto/apollo
microsoft/PowerToys
swoole/swoole-src
uglide/RedisDesktopManager
google/googletest
v8/v8
facebook/folly
commaai/openpilot
cocos2d/cocos2d-x
Tencent/mars
google/flatbuffers
apache/incubator-weex
mozilla/DeepSpeech
haoel/leetcode
facebook/yoga
sqlitebrowser/sqlitebrowser
envoyproxy/envoy
google/guetzli
telegramdesktop/tdesktop
uNetworking/uWebSockets
vnpy/vnpy
microsoft/react-native-windows
catchorg/Catch2
EOSIO/eos
PaddlePaddle/Paddle
microsoft/LightGBM
notepad-plus-plus/notepad-plus-plus
google/libphonenumber
ValveSoftware/Proton
xbmc/xbmc
taichi-dev/taichi
pqrs-org/Karabiner-Elements
arendst/Tasmota
ClickHouse/ClickHouse
apple/foundationdb
apache/incubator-brpc
microsoft/AirSim
yuzu-emu/yuzu
huihut/interview
SFTtech/openage
apple/turicreate
Tencent/MMKV
CRYTEK/CRYENGINE
arangodb/arangodb
openalpr/openalpr
wkhtmltopdf/wkhtmltopdf
yangyangwithgnu/hardseed
lemire/simdjson
facebookresearch/faiss
mobile-shell/mosh
Tencent/rapidjson
microsoft/napajs
facebook/watchman
davisking/dlib
google/filament
qbittorrent/qBittorrent
trojan-gfw/trojan
Tencent/ncnn
ShiqiYu/libfacedetection
ssloy/tinyrenderer
TarsCloud/Tars
aseprite/aseprite
gabime/spdlog
Studio3T/robomongo
diasurgical/devilution
fmtlib/fmt
OpenRCT2/OpenRCT2
ethereum/solidity
zealdocs/zeal
acaudwell/Gource
shadowsocks/shadowsocks-qt5
openframeworks/openFrameworks
CoatiSoftware/Sourcetrail
ossrs/srs
RPCS3/rpcs3
ceph/ceph
bkaradzic/bgfx
AudioKit/AudioKit
apache/thrift
symless/synergy-core
keepassxreboot/keepassxc
capnproto/capnproto
chenshuo/muduo
sass/node-sass
VowpalWabbit/vowpal_wabbit
bjorn/tiled
MarlinFirmware/Marlin
android/ndk-samples
pybind/pybind11
alibaba/AndFix
kitao/pyxel
opencv/opencv_contrib
scylladb/seastar
google/mediapipe
FreeCAD/FreeCAD
kelektiv/node.bcrypt.js
google/or-tools
tiny-dnn/tiny-dnn
asmuth/clip
hrydgard/ppsspp
Mooophy/Cpp-Primer
microsoft/STL
catboost/catboost
tjanczuk/edge
mysql/mysql-server
gperftools/gperftools
lupoDharkael/flameshot
doitsujin/dxvk
snowie2000/mactype
minetest/minetest
mozilla/rr
PointCloudLibrary/pcl
dropbox/lepton
butor/blackbird
phusion/passenger
BYVoid/OpenCC
apache/mesos
Tencent/Hippy
musescore/MuseScore
amzn/amazon-dsstne
ValveSoftware/GameNetworkingSockets
ninja-build/ninja
avast/retdec
oguzhaninan/Stacer
SerenityOS/serenity
Z3Prover/z3
Tencent/libco
assimp/assimp
apache/arrow
opencv/opencv_contrib
scylladb/seastar
facebook/hermes
google/mediapipe
FreeCAD/FreeCAD
kelektiv/node.bcrypt.js
Squirrel/Squirrel.Windows
google/or-tools
tiny-dnn/tiny-dnn
asmuth/clip
hrydgard/ppsspp
Mooophy/Cpp-Primer
microsoft/STL
microsoft/cpprestsdk
facebookresearch/wav2letter
catboost/catboost
tjanczuk/edge
mysql/mysql-server
facebook/redex
raulmur/ORB_SLAM2
PaddlePaddle/Paddle-Lite
googlecartographer/cartographer
gperftools/gperftools
lupoDharkael/flameshot
ArduPilot/ardupilot
doitsujin/dxvk
snowie2000/mactype
SaschaWillems/Vulkan
minetest/minetest
mozilla/rr
PointCloudLibrary/pcl
zerotier/ZeroTierOne
dropbox/lepton
butor/blackbird
google/re2
albertlauncher/albert
phusion/passenger
AGWA/git-crypt
nodegui/nodegui
BYVoid/OpenCC
electronicarts/EASTL
apache/mesos
Tencent/Hippy
open-source-parsers/jsoncpp
musescore/MuseScore
amzn/amazon-dsstne
ValveSoftware/GameNetworkingSockets
lltcggie/waifu2x-caffe
mamedev/mame
TheAlgorithms/C-Plus-Plus
bblanchon/ArduinoJson
monero-project/monero
cameron314/concurrentqueue
me115/design_patterns
tensorflow/serving
wszqkzqk/deepin-wine-ubuntu
apache/incubator-pagespeed-ngx
google/benchmark
ponylang/ponyc
keepassx/keepassx
zcash/zcash
baldurk/renderdoc
s3fs-fuse/s3fs-fuse
sass/libsass
carla-simulator/carla
koekeishiya/chunkwm
Ewenwan/MVision
ValveSoftware/openvr
includeos/IncludeOS
LUX-Core/lux
TTimo/doom3.gpl
xenia-project/xenia
anbox/anbox
google/snappy
seetaface/SeetaFaceEngine
flutter/engine
google/liquidfun
peterbraden/node-opencv
CleverRaven/Cataclysm-DDA
leela-zero/leela-zero
grpc/grpc-web
JoeyDeVries/LearnOpenGL
erincatto/box2d
PCSX2/pcsx2
llvm/llvm-project
facebookarchive/scribe
microsoft/GSL
tzapu/WiFiManager
tekezo/Karabiner
alibaba/AliSQL
XiaoMi/mace
google/skia
google/sentencepiece
brndnmtthws/conky
mapbox/mapbox-gl-native
justadudewhohacks/opencv4nodejs
google-ar/arcore-android-sdk
IntelRealSense/librealsense
cisco/openh264
microsoft/SPTAG
gaoxiang12/slambook
ethereum/aleth
zaphoyd/websocketpp
weolar/miniblink49
google/glog
sysown/proxysql
FastLED/FastLED
alibaba/MNN
relativty/Relativ
halide/Halide
Project-OSRM/osrm-backend
LMMS/lmms
wangyu-/udp2raw-tunnel
mandliya/algorithms_and_data_structures
JohnSully/KeyDB
FLIF-hub/FLIF
id-Software/DOOM-3-BFG
idea4good/GuiLite
duilib/duilib
appjs/appjs
xtaci/algorithms
qgis/QGIS
Lexikos/AutoHotkey_L
ripple/rippled
ricochet-im/ricochet
anyRTC/anyRTC-RTMP-OpenSource
Qihoo360/pika
SpiderLabs/ModSecurity
swig/swig
laverdet/node-fibers
PX4/Firmware
fireice-uk/xmr-stak
google/draco
wuye9036/CppTemplateTutorial
0xZ0F/Z0FCourse_ReverseEngineering
olive-editor/olive
google/lmctfy
nghttp2/nghttp2
ssloy/tinyraytracer
wjakob/nanogui
facebookresearch/StarSpace
MariaDB/server
mapsme/omim
ledger/ledger
emcrisostomo/fswatch
plaidml/plaidml
Sigil-Ebook/Sigil
mlpack/mlpack
zhedahht/CodingInterviewChinese2
openscad/openscad
recastnavigation/recastnavigation
GarageGames/Torque3D
gatieme/CodingInterviews
OpenMW/openmw
progschj/ThreadPool
urho3d/Urho3D
oclint/oclint
google/robotstxt
goldendict/goldendict
zeusees/HyperLPR
leethomason/tinyxml2
zeek/zeek
NixOS/nix
cpp-taskflow/cpp-taskflow
tensorflow/minigo
clab/dynet
ethereum-mining/ethminer
facebookarchive/conceal
pytorch/ELF
facebookarchive/webscalesql-5.6
cuberite/cuberite
wangyu-/UDPspeeder
arrayfire/arrayfire
facebookarchive/beringei
tstack/lnav
xmrig/xmrig
supercollider/supercollider
ChrisKnott/Algojammer
anhkgg/SuperWeChatPC
mumble-voip/mumble
CtripMobile/DynamicAPK
joeycastillo/The-Open-Book
gameplay3d/GamePlay
microsoft/DirectX-Graphics-Samples
qTox/qTox
wxWidgets/wxWidgets
supertuxkart/stk-code
doxygen/doxygen
mosra/magnum
z3t0/Arduino-IRremote
mltframework/shotcut
skypjack/entt
mmp/pbrt-v3
breach/thrust
milvus-io/milvus
dusty-nv/jetson-inference
wesnoth/wesnoth
rakshasa/rtorrent
uber-archive/pyflame
badaix/snapcast
fibjs/fibjs
yedf/handy
TonyChen56/WeChatRobot
danmar/cppcheck
google/zopfli
nodejs/nan
llvm-mirror/clang
openMVG/openMVG
microsoft/service-fabric
jvm-profiling-tools/async-profiler
forhappy/Cplusplus-Concurrency-In-Practice
pmq20/node-packer
opentoonz/opentoonz
uNetworking/uWebSockets.js
whoshuu/cpr
jrowberg/i2cdevlib
pezy/LeetCode
facebook/mcrouter
thrust/thrust
fanout/pushpin
aksnzhy/xlearn
nanocurrency/nano-node
intel/hyperscan
VCVRack/Rack
tomahawk-player/tomahawk
shogun-toolbox/shogun
mapnik/mapnik
LibreVR/Revive
dropbox/djinni
jmoon018/PacVim
Tencent/phxpaxos
biometrics/openbr
baidu/bfs
Croteam-official/Serious-Engine
ericniebler/range-v3
blynkkk/blynk-library
intel-isl/Open3D
Tencent/PhoenixGo
Nevcairiel/LAVFilters
pavel-odintsov/fastnetmon
tdlib/td
knolleary/pubsubclient
thestinger/termite
ValveSoftware/source-sdk-2013
ggerganov/kbd-audio
boostorg/beast
facebook/wangle
facebook/wdt
facebookincubator/katran
clementine-player/Clementine
ryanjay0/miles-deep
mozilla/rhino
amrayn/easyloggingpp
vesoft-inc/nebula
MasteringOpenCV/code
mit-nlp/MITIE
iovisor/bpftrace
interpretml/interpret
NVIDIA/DALI
HIT-SCIR/ltp
falcosecurity/falco
HackerPoet/NonEuclidean
hluk/CopyQ
